Author,Title,Year,Themes,Author_Cleaned
Alexandre Dumas                                              ,Pauline,1830,Décadence,Alexandre Dumas
Alexandre Dumas                 ,Les trois mousquetaires,1830,Décadence,Alexandre Dumas
Alexandre Dumas                                      ,Gabriel Lambert,1830,Décadence,Alexandre Dumas
Alexandre Dumas                                    ,Le comte de Moret,1830,Décadence,Alexandre Dumas
Alexandre Dumas                                      ,La tulipe noire,1830,Décadence,Alexandre Dumas
Alexandre Dumas                               ,Creation et redemption,1830,Décadence,Alexandre Dumas
Alexandre Dumas                                ,Le capitaine Pamphile,1830,Décadence,Alexandre Dumas
Alexandre Dumas                              ,La San-Felice,1830,Décadence,Alexandre Dumas
Alexandre Dumas                                                 ,Acte,1830,Décadence,Alexandre Dumas
"Alexandre Dumas, Pere                      ",La reine Margot,1894,"Décadence, Fiction historique, Roman","Alexandre Dumas, Pere"
"Alexandre Dumas, Pere                           ",Henri III et sa Cour,1894,"Décadence, Fiction historique, Roman","Alexandre Dumas, Pere"
"Alexandre Dumas, Pere                                ",La Tulipe Noire,1894,"Décadence, Fiction historique, Roman","Alexandre Dumas, Pere"
Alphonse Daudet                                      ,Contes de lundi,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                       ,Numa Roumestan,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                        ,Port-Tarascon,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                                ,Sapho,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                       ,Le petit chose,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                    ,Le nabab,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                 ,Tartarin de Tarascon,1869,Décadence,Alphonse Daudet
Alphonse Daudet                                ,Tartarin sur les Alpes,1869,Décadence,Alphonse Daudet
Edmond de Goncourt                   ,La femme au dix-huitième siècle,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt
Edmond de Goncourt                                    ,La fille Elisa,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt
Edmond de Goncourt                                          ,Hokousai,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie",Edmond de Goncourt
"Edmond de Goncourt, Jules de Goncourt             ",Manette Salomon,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie","Edmond de Goncourt, Jules de Goncourt"
"Edmond de Goncourt, Jules de Goncourt          ",Germinie Lacerteux,1862,"Mœurs, Fiction historique, Décadence, Coutumes, Société et politique, Philosophie","Edmond de Goncourt, Jules de Goncourt"
Eugène Sue,"Atar-Gull, Un Corsaire, Le Parisien en Mer, Voyages et                   
 Aventures sur Mer de Narcisse Gelin",1844,"Religion, Décadence, Arts et Culture",Eugène Sue
Eugène Sue                           ,Les mystères du peuple,1844,"Religion, Décadence, Arts et Culture",Eugène Sue
George Sand                                         ,Les dames vertes,1846,Roman,George Sand
George Sand                                                  ,Mauprat,1846,Roman,George Sand
George Sand                                         ,Le beau Laurence,1846,Roman,George Sand
George Sand                                                  ,Adriani,1846,Roman,George Sand
George Sand                                       ,Evenor et Leucippe,1846,Roman,George Sand
George Sand                                                  ,Tamaris,1846,Roman,George Sand
George Sand                                        ,La petite fadette,1846,Roman,George Sand
George Sand                                             ,Le Piccinino,1846,Roman,George Sand
Gustave Flaubert                                     ,Un coeur simple,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Gustave Flaubert                                 ,Bouvard et Pecuchet,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Gustave Flaubert                       ,Dictionnaire des idees recues,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Gustave Flaubert                                       ,Madame Bovary,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Gustave Flaubert                                        ,Trois contes,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Gustave Flaubert                       ,La tentation de Saint Antoine,1857,"Décadence, Roman, Philosophie, Coutumes, Société et politique",Gustave Flaubert
Guy de Maupassant                                   ,La Femme de Paul,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                    ,La petite roque,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                            ,Une vie,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                     ,La vie errante,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                       ,Contes du jour et de la nuit,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                    ,Monsieur Parent,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                               ,Contes de la Becasse,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                          ,Mlle Fifi,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                  ,La Maison Tellier,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Guy de Maupassant                                     ,La Main Gauche,1893,"Décadence, Pouvoir, Société et politique, Ambitions, Fiction historique, Roman, Coutumes, Passion",Guy de Maupassant
Jean de La Fontaine      ,Audio,1678,"Mythes et légendes, Arts et Culture, Poésie, Aventures, Décadence, Conte",Jean de La Fontaine
Jean de La Fontaine               ,Fables de La Fontaine,1678,"Mythes et légendes, Arts et Culture, Poésie, Aventures, Décadence, Conte",Jean de La Fontaine
Jules Verne                                ,Les naufragés du Jonathan,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                   ,Les grands navigateurs du XIIIe siècle,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                         ,Vingt mille lieues sous les mers,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                             ,Les voyageurs du XIXe siècle,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                  ,Le Tour du monde en quatre-vingts jours,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                                        ,Autour de la lune,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                                        ,Mistress Branican,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Jules Verne                                      ,Une ville flottante,1872,"Décadence, Fiction historique, Aventures, Techniques, Conte, Critique, Voyages, Épouvante, Fantastique, Arts et Culture, Roman",Jules Verne
Stendhal                                       ,La Duchesse de Palliano,1800,"Décadence, Critique, Roman, Coutumes",Stendhal
Stendhal                   ,"Vittoria Accoramboni, Duchesse de Bracciano",1800,"Décadence, Critique, Roman, Coutumes",Stendhal
Stendhal                                                     ,Les Cenci,1800,"Décadence, Critique, Roman, Coutumes",Stendhal
Stendhal                                           ,Le Rouge et le Noir,1800,"Décadence, Critique, Roman, Coutumes",Stendhal
Stendhal                                        ,La Chartreuse de Parme,1800,"Décadence, Critique, Roman, Coutumes",Stendhal
Théophile Gautier                                     ,Constantinople,1834,Décadence,Théophile Gautier
Théophile Gautier,"Les Jeunes-France, romans goguenards, suivis de Contes humoristiques,",1834,Décadence,Théophile Gautier
Théophile Gautier                              ,Le capitaine Fracasse,1834,Décadence,Théophile Gautier
Théophile Gautier                                   ,Honoré de Balzac,1834,Décadence,Théophile Gautier
Théophile Gautier                                        ,Victor Hugo,1834,Décadence,Théophile Gautier
Théophile Gautier                                   ,Romans et contes,1834,Décadence,Théophile Gautier
Théophile Gautier                                    ,Émaux et camées,1834,Décadence,Théophile Gautier
Victor Hugo                                  ,Post-scriptum de ma vie,1800,"Décadence, Roman, Coutumes",Victor Hugo
Victor Hugo                                                 ,Ruy Blas,1800,"Décadence, Roman, Coutumes",Victor Hugo
Victor Hugo                                         ,Le Rhin,1800,"Décadence, Roman, Coutumes",Victor Hugo
Victor Hugo                                        ,Napoleon Le Petit,1800,"Décadence, Roman, Coutumes",Victor Hugo
Victor Hugo                                      ,Notre-Dame de Paris,1800,"Décadence, Roman, Coutumes",Victor Hugo
Victor Hugo                      ,Les misérables,1800,"Décadence, Roman, Coutumes",Victor Hugo
Voltaire                                                     ,Candide,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                       ,"Le Monde comme il va, vision de Babouc",1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                             ,Jeannot et Colin,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                          ,Le Blanc et le Noir,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                          ,Histoire des Voyages de Scarmentado,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                         ,Micromegas,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                             ,Memnon,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                              ,Zadig,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Voltaire                                               ,Vie de Molière,1746,"Critique, Décadence, Société et politique, Vie sociale et mœurs, Pouvoir, Justice, Lettres imaginaires, Éducation et Conduite de la vie, Fiction historique, Comédie, Roman, Satire, Arts et Culture, Coutumes",Voltaire
Émile Zola                 ,Ed,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                       ,La vérité en marche,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                              ,Son Excellence Eugène Rougon,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                                  ,La curée,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                                   ,Le rêve,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                      ,Au bonheur des dames,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                             ,Contes à Ninon,1885,"Décadence, Société et politique",Émile Zola
Émile Zola                                         ,Le Ventre de Paris,1885,"Décadence, Société et politique",Émile Zola
